INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('7:45', '8:20')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('8:20', '8:55')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('9:05', '9:40')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('9:40', '10:15')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('10:25', '11:00')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('11:00', '11:35')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('11:45', '12:20')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('12:20', '12:55')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('14:05', '14:40')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('14:40', '15:15')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('15:25', '16:00')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('16:00', '16:35')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('16:45', '17:20')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('17:20', '17:55')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('18:05', '18:40')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('7:45', '8:20')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('8:20', '8:55')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('9:05', '9:40')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('9:40', '10:15')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('10:25', '11:00')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('11:00', '11:35')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('11:45', '12:20')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('12:20', '12:55')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('14:05', '14:40')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('14:40', '15:15')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('15:25', '16:00')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('16:00', '16:35')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('16:45', '17:20')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('17:20', '17:55')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('18:05', '18:40')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('7:45', '8:20')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('8:20', '8:55')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('9:05', '9:40')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('9:40', '10:15')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('10:25', '11:00')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('11:00', '11:35')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('11:45', '12:20')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('12:20', '12:55')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('14:05', '14:40')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('14:40', '15:15')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('15:25', '16:00')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('16:00', '16:35')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('16:45', '17:20')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('17:20', '17:55')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('18:05', '18:40')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('7:45', '8:20')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('8:20', '8:55')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('9:05', '9:40')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('9:40', '10:15')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('10:25', '11:00')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('11:00', '11:35')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('11:45', '12:20')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('12:20', '12:55')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('14:05', '14:40')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('14:40', '15:15')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('15:25', '16:00')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('16:00', '16:35')
INSERT INTO TABLE Session (SessionStart, SessionEnd) VALUES ('16:45', '17:20')
